row_id,og_id,car_brand,car_name,engine,total_speed_kmh,fuel_type,cc_capacity,kwh_capacity,_idx,price_min,price_max,horsepower_min,horsepower_max,torque_nm_min,torque_nm_max,0_100_kmh_performance_secs_min,0_100_kmh_performance_secs_max,seats_min,seats_max,region,country,price_tier
32-0,32,Aston Martin,VALKYRIE,V12,402,hybrid,6496.0,,0,3200000.0,3200000.0,1160.0,1160.0,900.0,900.0,2.5,2.5,2,2,Europe,United Kingdom,Supercar
33-0,33,Aston Martin,VALHALLA,v8,362,hybrid,3996.0,,0,1100000.0,1100000.0,1000.0,1000.0,1000.0,1000.0,2.5,2.5,2,2,Europe,United Kingdom,Supercar
34-0,34,Aston Martin,DBS SUPERLEGGERA,V12,340,petrol,5204.0,,0,316000.0,316000.0,715.0,715.0,900.0,900.0,3.4,3.4,2,2,Europe,United Kingdom,Supercar
35-0,35,Aston Martin,DB11,V12,322,petrol,5204.0,,0,208000.0,208000.0,600.0,600.0,700.0,700.0,3.9,3.9,4,4,Europe,United Kingdom,Luxury
36-0,36,Aston Martin,VANTAGE ,v8,313,petrol,3996.0,,0,142000.0,142000.0,503.0,503.0,685.0,685.0,3.6,3.6,2,2,Europe,United Kingdom,Luxury
37-0,37,Aston Martin,DBX,v8,291,petrol,3996.0,,0,189000.0,189000.0,542.0,542.0,700.0,700.0,4.5,4.5,5,5,Europe,United Kingdom,Luxury
38-0,38,Aston Martin,RAPIDE AMR,V12,328,petrol,5935.0,,0,240000.0,240000.0,580.0,580.0,630.0,630.0,4.2,4.2,4,4,Europe,United Kingdom,Luxury
39-0,39,Aston Martin,VANQUISH,V12,324,petrol,5935.0,,0,294000.0,294000.0,580.0,580.0,630.0,630.0,3.6,3.6,2,2,Europe,United Kingdom,Supercar
40-0,40,Aston Martin,LAGONDA TARAF,V12,314,petrol,5935.0,,0,1100000.0,1100000.0,540.0,540.0,630.0,630.0,4.2,4.2,4,4,Europe,United Kingdom,Supercar
41-0,41,Aston Martin,VICTOR,V12,320,petrol,5204.0,,0,1300000.0,1300000.0,836.0,836.0,821.0,821.0,2.8,2.8,2,2,Europe,United Kingdom,Supercar
42-0,42,Lamborghini,SIAN,V12,350,hybrid,6498.0,,0,2800000.0,2800000.0,819.0,819.0,720.0,720.0,2.8,2.8,2,2,Europe,Italy,Supercar
43-0,43,Lamborghini,AVENTADOR SVJ,V12,350,petrol,6498.0,,0,518000.0,518000.0,759.0,759.0,720.0,720.0,2.8,2.8,2,2,Europe,Italy,Supercar
44-0,44,Lamborghini,HURACAN PERFORMANTE,V10,325,petrol,5204.0,,0,274000.0,274000.0,640.0,640.0,600.0,600.0,2.9,2.9,2,2,Europe,Italy,Supercar
45-0,45,Lamborghini,HURACAN EVO,V10,325,petrol,5204.0,,0,261000.0,261000.0,640.0,640.0,600.0,600.0,2.9,2.9,2,2,Europe,Italy,Supercar
46-0,46,Lamborghini,AVENTADOR SV,V12,350,petrol,6498.0,,0,493000.0,493000.0,740.0,740.0,690.0,690.0,2.8,2.8,2,2,Europe,Italy,Supercar
47-0,47,Lamborghini,URUS ,v8,305,petrol,3996.0,,0,211000.0,211000.0,641.0,641.0,850.0,850.0,3.6,3.6,5,5,Europe,Italy,Luxury
48-0,48,Lamborghini,HURACAN SPYDER,V10,325,petrol,5204.0,,0,287000.0,287000.0,610.0,610.0,600.0,600.0,3.4,3.4,2,2,Europe,Italy,Supercar
49-0,49,Lamborghini,AVENTADOR ROADSTER,V12,350,petrol,6498.0,,0,445000.0,445000.0,700.0,700.0,690.0,690.0,3.0,3.0,2,2,Europe,Italy,Supercar
50-0,50,Lamborghini,HURACAN  PERFORMANTE SPYDER,V10,325,petrol,5204.0,,0,308000.0,308000.0,640.0,640.0,600.0,600.0,3.1,3.1,2,2,Europe,Italy,Supercar
51-0,51,Lamborghini,AVENTADOR S,V12,350,petrol,6498.0,,0,421000.0,421000.0,740.0,740.0,690.0,690.0,2.9,2.9,2,2,Europe,Italy,Supercar
52-0,52,Lamborghini,HURACAN EVO SPYDER,V10,325,petrol,5204.0,,0,287000.0,287000.0,640.0,640.0,600.0,600.0,3.1,3.1,2,2,Europe,Italy,Supercar
53-0,53,Lamborghini,URUS PERFORMANTE,v8,305,petrol,3996.0,,0,242000.0,242000.0,641.0,641.0,850.0,850.0,3.3,3.3,5,5,Europe,Italy,Luxury
54-0,54,Lamborghini,AVENTADOR ULTIMAE,V12,355,petrol,6498.0,,0,545000.0,545000.0,769.0,769.0,720.0,720.0,2.8,2.8,2,2,Europe,Italy,Supercar
55-0,55,Lamborghini,HURACAN EVO RWD,V10,325,petrol,5204.0,,0,258000.0,258000.0,610.0,610.0,560.0,560.0,3.3,3.3,2,2,Europe,Italy,Supercar
56-0,56,Lamborghini,AVENTADOR SVJ ROADSTER,V12,350,petrol,6498.0,,0,573000.0,573000.0,759.0,759.0,720.0,720.0,2.9,2.9,2,2,Europe,Italy,Supercar
57-0,57,Lamborghini,URUS S,v8,305,petrol,3996.0,,0,263000.0,263000.0,671.0,671.0,850.0,850.0,3.3,3.3,5,5,Europe,Italy,Supercar
58-0,58,Lamborghini,HURACAN STO,V10,325,petrol,5204.0,,0,327000.0,327000.0,640.0,640.0,565.0,565.0,3.0,3.0,2,2,Europe,Italy,Supercar
59-0,59,Lamborghini,AVENTADOR LP 780-4 ULTIMATE,V12,355,petrol,6498.0,,0,545000.0,545000.0,769.0,769.0,720.0,720.0,2.8,2.8,2,2,Europe,Italy,Supercar
60-0,60,Lamborghini,HURACAN EVO RWD SPYDER,V10,325,petrol,5204.0,,0,273000.0,273000.0,610.0,610.0,600.0,600.0,3.3,3.3,2,2,Europe,Italy,Supercar
61-0,61,Lamborghini,AVENTADOR SVJ XAGO,V12,350,petrol,6498.0,,0,603000.0,603000.0,759.0,759.0,720.0,720.0,2.9,2.9,2,2,Europe,Italy,Supercar
62-0,62,Lamborghini,URUS GRAPHITE CAPSULE,v8,305,petrol,3998.0,,0,253000.0,253000.0,641.0,641.0,850.0,850.0,3.3,3.3,5,5,Europe,Italy,Supercar
63-0,63,Lamborghini,HURACAN STO EVO,V10,325,petrol,5204.0,,0,342000.0,342000.0,640.0,640.0,565.0,565.0,3.0,3.0,2,2,Europe,Italy,Supercar
64-0,64,Lamborghini,AVENTADOR LP 780-4 ULTIMATE ROADSTER,V12,355,petrol,6498.0,,0,573000.0,573000.0,769.0,769.0,720.0,720.0,2.8,2.8,2,2,Europe,Italy,Supercar
65-0,65,Rolls Royce,GHOST,V12,250,petrol,6592.0,,0,332000.0,332000.0,591.0,591.0,850.0,850.0,4.8,4.8,5,5,Europe,United Kingdom,Supercar
66-0,66,Rolls Royce,WRAITH,V12,250,petrol,6592.0,,0,330000.0,330000.0,624.0,624.0,870.0,870.0,4.4,4.4,4,4,Europe,United Kingdom,Supercar
67-0,67,Rolls Royce,DAWN,V12,250,petrol,6592.0,,0,360000.0,360000.0,624.0,624.0,870.0,870.0,4.9,4.9,4,4,Europe,United Kingdom,Supercar
68-0,68,Rolls Royce,CULLINAN,V12,250,petrol,6749.0,,0,325000.0,325000.0,563.0,563.0,850.0,850.0,5.2,5.2,5,5,Europe,United Kingdom,Supercar
69-0,69,Rolls Royce,PHANTOM EXTENDED,V12,250,petrol,6749.0,,0,500000.0,500000.0,563.0,563.0,900.0,900.0,5.3,5.3,5,5,Europe,United Kingdom,Supercar
70-0,70,Rolls Royce,GHOST EXTENDED,V12,250,petrol,6592.0,,0,370000.0,370000.0,591.0,591.0,850.0,850.0,4.8,4.8,5,5,Europe,United Kingdom,Supercar
71-0,71,Rolls Royce,WRAITH BLACK BADGE,V12,250,petrol,6592.0,,0,360000.0,360000.0,624.0,624.0,870.0,870.0,4.3,4.3,4,4,Europe,United Kingdom,Supercar
72-0,72,Rolls Royce,DAWN BLACK BADGE,V12,250,petrol,6592.0,,0,390000.0,390000.0,624.0,624.0,870.0,870.0,4.8,4.8,4,4,Europe,United Kingdom,Supercar
73-0,73,Rolls Royce,CULLINAN BLACK BADGE,V12,250,petrol,6749.0,,0,350000.0,350000.0,563.0,563.0,850.0,850.0,5.1,5.1,5,5,Europe,United Kingdom,Supercar
74-0,74,Rolls Royce,PHANTOM COUPE,V12,250,petrol,6749.0,,0,450000.0,450000.0,563.0,563.0,870.0,870.0,5.3,5.3,4,4,Europe,United Kingdom,Supercar
75-0,75,Rolls Royce,GHOST COUPE,V12,250,petrol,6592.0,,0,340000.0,340000.0,591.0,591.0,850.0,850.0,4.8,4.8,4,4,Europe,United Kingdom,Supercar
76-0,76,Rolls Royce,WRAITH COUPE,V12,250,petrol,6592.0,,0,330000.0,330000.0,624.0,624.0,870.0,870.0,4.4,4.4,4,4,Europe,United Kingdom,Supercar
77-0,77,Rolls Royce,DAWN CONVERTIBLE,V12,250,petrol,6592.0,,0,380000.0,380000.0,624.0,624.0,870.0,870.0,4.9,4.9,4,4,Europe,United Kingdom,Supercar
78-0,78,Rolls Royce,CULLINAN SUV,V12,250,petrol,6749.0,,0,320000.0,320000.0,563.0,563.0,850.0,850.0,5.2,5.2,5,5,Europe,United Kingdom,Supercar
79-0,79,Mercedes,BENZ S-CLASS S 580,v8,250,petrol,3982.0,,0,116000.0,116000.0,496.0,496.0,700.0,700.0,4.4,4.4,5,5,Europe,Germany,Luxury
80-0,80,Mercedes,BENZ E-CLASS E 63 S,v8,250,petrol,3982.0,,0,104000.0,104000.0,603.0,603.0,850.0,850.0,3.4,3.4,5,5,Europe,Germany,Luxury
81-0,81,Mercedes,BENZ CLA 45 AMG,i4,250,petrol,1991.0,,0,53000.0,53000.0,382.0,382.0,500.0,500.0,4.1,4.1,5,5,Europe,Germany,Premium
82-0,82,Mercedes,BENZ GLE 63 S,v8,250,petrol,3982.0,,0,113000.0,113000.0,603.0,603.0,850.0,850.0,4.2,4.2,5,5,Europe,Germany,Luxury
83-0,83,Mercedes,BENZ S-CLASS S 500,v6,250,petrol,2996.0,,0,109000.0,109000.0,429.0,429.0,700.0,700.0,4.9,4.9,5,5,Europe,Germany,Luxury
84-0,84,Mercedes,BENZ E-CLASS E 450 ,v6,250,petrol,2996.0,,0,62000.0,62000.0,362.0,362.0,500.0,500.0,5.2,5.2,5,5,Europe,Germany,Premium
85-0,85,Mercedes,BENZ CLS 450,v6,250,petrol,2996.0,,0,70000.0,70000.0,362.0,362.0,500.0,500.0,5.2,5.2,5,5,Europe,Germany,Premium
86-0,86,Mercedes,BENZ GT 53,v6,250,petrol,2996.0,,0,99000.0,99000.0,429.0,429.0,700.0,700.0,4.5,4.5,5,5,Europe,Germany,Premium
87-0,87,Mercedes,BENZ GLE 450,v6,250,petrol,2996.0,,0,63000.0,63000.0,362.0,362.0,500.0,500.0,5.5,5.5,5,5,Europe,Germany,Premium
88-0,88,Mercedes,BENZ A-CLASS A 45 S,i4,250,petrol,1991.0,,0,53000.0,53000.0,416.0,416.0,500.0,500.0,3.9,3.9,5,5,Europe,Germany,Premium
89-0,89,Mercedes,BENZ C-CLASS C 43,v6,250,petrol,2996.0,,0,52000.0,52000.0,402.0,402.0,520.0,520.0,4.7,4.7,5,5,Europe,Germany,Premium
90-0,90,Mercedes,BENZ E-CLASS E 350,i4,250,petrol,1991.0,,0,49000.0,49000.0,255.0,255.0,500.0,500.0,5.7,5.7,5,5,Europe,Germany,Midrange
91-0,91,Mercedes,BENZ GLE 350 ,i4,250,petrol,1991.0,,0,53000.0,53000.0,255.0,255.0,500.0,500.0,6.1,6.1,5,5,Europe,Germany,Premium
92-0,92,Mercedes,BENZ GLC 43,v6,250,petrol,2996.0,,0,54000.0,54000.0,402.0,402.0,520.0,520.0,4.7,4.7,5,5,Europe,Germany,Premium
93-0,93,Mercedes,BENZ GLA 45,i4,250,petrol,1991.0,,0,48000.0,48000.0,382.0,382.0,500.0,500.0,4.3,4.3,5,5,Europe,Germany,Midrange
94-0,94,Mercedes,BENZ GLC 350 ,i4,250,petrol,1991.0,,0,46000.0,46000.0,255.0,255.0,500.0,500.0,6.1,6.1,5,5,Europe,Germany,Midrange
95-0,95,Mercedes,BENZ GLE 53,v6,250,petrol,2996.0,,0,71000.0,71000.0,429.0,429.0,620.0,620.0,5.2,5.2,5,5,Europe,Germany,Premium
96-0,96,Mercedes,BENZ S-CLASS S 350,i4,250,petrol,1991.0,,0,90000.0,90000.0,255.0,255.0,500.0,500.0,6.5,6.5,5,5,Europe,Germany,Premium
98-0,98,Mercedes,BENZ MAYBACH S 680,V12,250,petrol,5980.0,,0,200000.0,200000.0,630.0,630.0,1000.0,1000.0,4.7,4.7,5,5,Europe,Germany,Luxury
99-0,99,Bmw,M5 CS,v8,305,petrol,4395.0,,0,142000.0,142000.0,627.0,627.0,750.0,750.0,3.0,3.0,5,5,Europe,Germany,Luxury
100-0,100,Bmw,M4 GTS,i6,305,petrol,2993.0,,0,133000.0,133000.0,493.0,493.0,600.0,600.0,3.7,3.7,4,4,Europe,Germany,Luxury
101-0,101,Bmw,M3 COMPETITION,i6,285,petrol,2993.0,,0,76000.0,76000.0,503.0,503.0,650.0,650.0,3.5,3.5,5,5,Europe,Germany,Premium
102-0,102,Bmw,M2 CS,i6,280,petrol,2993.0,,0,83000.0,83000.0,444.0,444.0,550.0,550.0,4.0,4.0,4,4,Europe,Germany,Premium
103-0,103,Bmw,X5 M COMPETITION,v8,285,petrol,4935.0,,0,114000.0,114000.0,523.0,523.0,750.0,750.0,4.1,4.1,5,5,Europe,Germany,Luxury
104-0,104,Bmw,X3 M COMPETITION,i6,285,petrol,2993.0,,0,69000.0,69000.0,503.0,503.0,650.0,650.0,4.1,4.1,5,5,Europe,Germany,Premium
105-0,105,Bmw,M8 GRAN COUPE,v8,305,petrol,4395.0,,0,146000.0,146000.0,523.0,523.0,750.0,750.0,3.3,3.3,5,5,Europe,Germany,Luxury
106-0,106,Bmw,M850i DRIVE COUPE,v8,285,petrol,4935.0,,0,108000.0,108000.0,523.0,523.0,750.0,750.0,3.7,3.7,4,4,Europe,Germany,Luxury
107-0,107,Rolls Royce,DAWN BLACK BADGE VOLANTE,V12,250,petrol,6592.0,,0,398000.0,398000.0,563.0,563.0,840.0,840.0,4.8,4.8,4,4,Europe,United Kingdom,Supercar
108-0,108,Rolls Royce,CULLINAN BLACK BADGE SUV,V12,250,petrol,6749.0,,0,381000.0,381000.0,563.0,563.0,850.0,850.0,5.1,5.1,5,5,Europe,United Kingdom,Supercar
109-0,109,Rolls Royce,PHATOM TRANQUILITY,V12,250,petrol,6749.0,,0,475000.0,475000.0,563.0,563.0,900.0,900.0,5.3,5.3,5,5,Europe,United Kingdom,Supercar
110-0,110,Rolls Royce,GHOST ZENITH,V12,250,petrol,6749.0,,0,335000.0,335000.0,563.0,563.0,900.0,900.0,4.9,4.9,5,5,Europe,United Kingdom,Supercar
111-0,111,Rolls Royce,WRAITH EAGLE VIII,V12,250,petrol,6592.0,,0,349000.0,349000.0,623.0,623.0,800.0,800.0,4.5,4.5,4,4,Europe,United Kingdom,Supercar
112-0,112,Rolls Royce,PHATOM ORCHID,V12,250,petrol,6749.0,,0,495000.0,495000.0,563.0,563.0,900.0,900.0,5.3,5.3,5,5,Europe,United Kingdom,Supercar
113-0,113,Rolls Royce,GHOST AZURE,V12,250,petrol,6749.0,,0,355000.0,355000.0,563.0,563.0,900.0,900.0,4.9,4.9,5,5,Europe,United Kingdom,Supercar
114-0,114,Rolls Royce,WRAITH KRYPTOS,V12,250,petrol,6592.0,,0,369000.0,369000.0,623.0,623.0,800.0,800.0,4.5,4.5,4,4,Europe,United Kingdom,Supercar
115-0,115,Rolls Royce,DAWN SILVER BULLET,V12,250,petrol,6592.0,,0,418000.0,418000.0,563.0,563.0,840.0,840.0,4.8,4.8,4,4,Europe,United Kingdom,Supercar
116-0,116,Rolls Royce,CULLINAN FUX ORANGE,V12,250,petrol,6749.0,,0,401000.0,401000.0,563.0,563.0,850.0,850.0,5.1,5.1,5,5,Europe,United Kingdom,Supercar
117-0,117,Rolls Royce,PHANTOM CELESTIAL,V12,250,petrol,6749.0,,0,515000.0,515000.0,563.0,563.0,900.0,900.0,5.3,5.3,5,5,Europe,United Kingdom,Supercar
118-0,118,Rolls Royce,GHOST MYSORE,V12,250,petrol,6749.0,,0,375000.0,375000.0,563.0,563.0,900.0,900.0,4.9,4.9,5,5,Europe,United Kingdom,Supercar
119-0,119,Rolls Royce,WRAITH LUMINARY,V12,250,petrol,6592.0,,0,389000.0,389000.0,623.0,623.0,800.0,800.0,4.5,4.5,4,4,Europe,United Kingdom,Supercar
120-0,120,Rolls Royce,DAWN BLACK BADGE ADAMAS,V12,250,petrol,6592.0,,0,439000.0,439000.0,563.0,563.0,840.0,840.0,4.8,4.8,4,4,Europe,United Kingdom,Supercar
121-0,121,Rolls Royce,CULLINAN RED DIAMOND,V12,250,petrol,6749.0,,0,421000.0,421000.0,563.0,563.0,850.0,850.0,5.1,5.1,5,5,Europe,United Kingdom,Supercar
122-0,122,Audi,R8 V10 PLUS,V10,330,petrol,5204.0,,0,194000.0,194000.0,610.0,610.0,560.0,560.0,3.2,3.2,2,2,Europe,Germany,Luxury
123-0,123,Audi,RS7 SPORTBACK,v8,305,petrol,3993.0,,0,114000.0,114000.0,591.0,591.0,800.0,800.0,3.6,3.6,5,5,Europe,Germany,Luxury
124-0,124,Audi,S8,v8,305,petrol,3993.0,,0,101000.0,101000.0,563.0,563.0,800.0,800.0,4.3,4.3,5,5,Europe,Germany,Luxury
125-0,125,Audi,RS6 AVANT,v8,305,petrol,3993.0,,0,109000.0,109000.0,591.0,591.0,800.0,800.0,3.6,3.6,5,5,Europe,Germany,Luxury
126-0,126,Audi,S7 SPORTBACK,v8,305,petrol,3993.0,,0,96000.0,96000.0,563.0,563.0,650.0,650.0,4.3,4.3,5,5,Europe,Germany,Premium
127-0,127,Audi,A8,v6,250,petrol,2995.0,,0,86000.0,86000.0,335.0,335.0,600.0,600.0,5.7,5.7,5,5,Europe,Germany,Premium
128-0,128,Audi,S5 COUPE,v6,250,petrol,2995.0,,0,64000.0,64000.0,349.0,349.0,500.0,500.0,4.8,4.8,4,4,Europe,Germany,Premium
129-0,129,Audi,SQ5,v6,250,petrol,2995.0,,0,62000.0,62000.0,349.0,349.0,500.0,500.0,5.4,5.4,5,5,Europe,Germany,Premium
130-0,130,Audi,S4 SEDAN,v6,250,petrol,2995.0,,0,59000.0,59000.0,349.0,349.0,500.0,500.0,4.7,4.7,5,5,Europe,Germany,Premium
131-0,131,Audi,S3 SEDAN,i4,250,petrol,1984.0,,0,52000.0,52000.0,306.0,306.0,400.0,400.0,4.8,4.8,5,5,Europe,Germany,Premium
132-0,132,Audi,Q7,v6,250,petrol,2995.0,,0,60000.0,60000.0,335.0,335.0,600.0,600.0,6.3,6.3,7,7,Europe,Germany,Premium
133-0,133,Audi,Q5,i4,240,petrol,1984.0,,0,43000.0,43000.0,248.0,248.0,500.0,500.0,6.3,6.3,5,5,Europe,Germany,Midrange
134-0,134,Audi,A7,v6,250,petrol,2995.0,,0,68000.0,68000.0,335.0,335.0,600.0,600.0,5.7,5.7,5,5,Europe,Germany,Premium
135-0,135,Audi,A6,v6,250,petrol,2995.0,,0,58000.0,58000.0,335.0,335.0,600.0,600.0,5.7,5.7,5,5,Europe,Germany,Premium
136-0,136,Audi,A5 COUPE,i4,240,petrol,1984.0,,0,45000.0,45000.0,248.0,248.0,500.0,500.0,6.3,6.3,4,4,Europe,Germany,Midrange
137-0,137,Audi,A4,i4,240,petrol,1984.0,,0,39000.0,39000.0,248.0,248.0,400.0,400.0,6.5,6.5,5,5,Europe,Germany,Midrange
138-0,138,Audi,Q3,i4,230,petrol,1984.0,,0,35000.0,35000.0,248.0,248.0,400.0,400.0,7.3,7.3,5,5,Europe,Germany,Midrange
139-0,139,Audi,E-TRON,ELECTRIC,200,electric,,95.0,0,75000.0,75000.0,402.0,402.0,664.0,664.0,5.5,5.5,5,5,Europe,Germany,Premium
140-0,140,Audi,E-TRON SPORTBACK,ELECTRIC,200,electric,,95.0,0,78000.0,78000.0,402.0,402.0,664.0,664.0,5.5,5.5,5,5,Europe,Germany,Premium
141-0,141,Audi,TT COUPE,i4,250,petrol,1984.0,,0,49000.0,49000.0,248.0,248.0,400.0,400.0,5.3,5.3,2,2,Europe,Germany,Midrange
142-0,142,Bmw,I8 ROADSTER,ELECTRIC MOTOR,250,hybrid,,11.6,0,165000.0,165000.0,369.0,369.0,570.0,570.0,4.4,4.4,2,2,Europe,Germany,Luxury
143-0,143,Bmw,330i,i4,250,petrol,1998.0,,0,45000.0,45000.0,255.0,255.0,400.0,400.0,5.6,5.6,5,5,Europe,Germany,Midrange
144-0,144,Bmw,M340i XDRIVE,i6,250,petrol,2998.0,,0,57000.0,57000.0,382.0,382.0,500.0,500.0,4.1,4.1,5,5,Europe,Germany,Premium
145-0,145,Bmw,430i COUPE,i4,250,petrol,1998.0,,0,48000.0,48000.0,255.0,255.0,400.0,400.0,5.8,5.8,4,4,Europe,Germany,Midrange
146-0,146,Bmw,M4 COMPETITION,i6,290,petrol,2993.0,,0,81000.0,81000.0,503.0,503.0,650.0,650.0,3.8,3.8,4,4,Europe,Germany,Premium
147-0,147,Bmw,530i,i4,250,petrol,1998.0,,0,57000.0,57000.0,248.0,248.0,400.0,400.0,5.9,5.9,5,5,Europe,Germany,Premium
148-0,148,Bmw,M550i XDRIVE,v8,250,petrol,4395.0,,0,78000.0,78000.0,523.0,523.0,650.0,650.0,3.6,3.6,5,5,Europe,Germany,Premium
149-0,149,Bmw,118i,i3,213,petrol,1499.0,,0,32000.0,32000.0,136.0,136.0,220.0,220.0,8.5,8.5,5,5,Europe,Germany,Midrange
